age,experience,income,family,mortgage,personal_loan,creditcard,loan_delinquency,non_valid_passport,undergraduate_edu,graduate_edu,advance_edu
46,13,302,3,2850,0,0,0,0,1,0,0
43,32,185,1,0,0,0,0,0,0,1,0
19,9,316,3,0,0,0,0,0,0,0,1
62,7,105,3,4120,1,0,0,0,0,1,0
22,15,350,3,0,0,0,0,0,0,1,0
33,20,135,1,0,0,0,0,0,1,0,0
28,31,220,2,0,0,0,0,0,0,0,1
39,14,57,3,1530,0,0,0,0,0,1,0
59,12,121,1,2110,1,0,0,0,0,0,1
53,26,141,5,0,0,0,0,0,0,0,1
55,16,48,2,0,0,0,0,0,0,1,0
20,8,167,3,0,0,0,0,0,1,0,0
53,37,178,3,0,0,1,0,0,0,1,0
41,6,151,3,2070,0,0,0,0,0,1,0
51,26,193,2,2400,1,0,0,0,0,1,0
40,5,232,5,0,0,0,0,0,1,0,0
49,17,322,3,0,0,0,0,0,1,0,0
65,30,44,3,0,0,0,0,0,0,0,1
55,31,92,1,0,1,0,0,0,1,0,0
41,2,258,2,0,0,0,0,0,0,1,0
20,5,243,2,4550,0,0,0,0,0,0,1
60,24,18,1,0,0,0,0,0,0,0,1
31,21,144,4,1120,0,0,0,0,1,0,0
39,18,210,2,0,0,0,0,0,0,1,0
58,17,260,3,0,0,0,0,0,0,1,0
21,23,53,4,0,0,0,0,0,0,1,0
20,35,165,3,0,0,0,0,0,0,0,1
43,36,182,5,3360,0,0,0,0,1,0,0
29,23,233,2,1320,0,0,0,0,0,1,0
51,21,311,1,0,0,0,0,0,1,0,0
34,29,39,4,0,0,0,0,0,1,0,0
58,18,168,3,0,0,0,0,0,0,0,1
29,29,176,4,0,0,0,0,0,1,0,0
48,20,226,2,0,0,0,0,0,0,1,0
64,16,201,3,0,0,0,0,0,0,1,0
47,3,303,1,0,0,0,0,0,0,0,1
34,7,349,2,0,1,0,0,0,0,1,0
35,32,37,4,0,0,0,0,0,1,0,0
40,20,51,5,0,0,0,0,0,1,0,0
22,30,58,1,0,1,0,0,0,1,0,0
62,26,90,1,1180,0,0,0,0,0,1,0
45,36,39,2,1740,0,0,0,0,0,1,0
64,22,65,1,0,0,0,0,0,0,0,1
43,16,200,4,0,0,0,0,0,0,0,1
28,9,48,2,0,0,0,0,0,0,1,0
26,22,241,2,0,0,0,0,0,0,0,1
51,2,310,1,0,0,0,0,0,0,1,0
61,16,117,2,1260,0,0,0,0,0,0,1
47,22,113,2,0,0,0,0,0,1,0,0
47,41,264,2,0,0,0,0,0,0,0,1
37,-1,177,4,0,0,0,0,0,0,0,1
64,30,91,3,0,1,0,0,0,1,0,0
48,10,274,5,0,0,0,0,0,1,0,0
44,19,218,1,0,0,0,0,0,0,1,0
41,34,343,1,2360,0,0,0,0,1,0,0
34,39,265,3,0,0,0,0,0,1,0,0
54,12,270,5,0,0,0,0,0,1,0,0
43,15,248,3,0,0,0,0,0,0,0,1
56,28,162,5,0,0,0,0,0,0,1,0
42,23,173,1,0,0,0,0,0,0,1,0
55,41,46,3,0,0,0,0,0,0,0,1
61,23,258,1,0,0,0,0,0,0,1,0
50,36,269,3,0,0,0,0,0,1,0,0
18,23,250,1,1980,0,0,0,0,0,1,0
51,18,130,5,0,0,0,0,0,0,0,1
48,32,91,4,1660,0,0,0,0,0,0,1
64,0,262,1,0,0,0,0,0,0,1,0
29,17,334,5,0,0,0,0,0,0,1,0
20,18,17,3,1360,0,0,0,0,0,0,1
64,7,43,3,1660,0,0,0,0,0,1,0
58,17,267,2,0,0,0,0,0,1,0,0
22,14,304,2,0,0,0,0,0,0,1,0
46,38,189,4,0,0,0,0,0,1,0,0
56,15,318,2,3090,0,0,0,0,0,1,0
41,34,47,3,1030,0,0,0,0,0,1,0
62,14,286,3,0,0,0,0,0,0,1,0
52,40,78,5,0,0,0,0,0,1,0,0
50,29,191,5,0,0,0,0,0,0,1,0
38,33,192,4,1930,0,0,0,0,0,0,1
55,16,346,4,0,0,0,0,0,0,1,0
36,7,271,2,3660,0,0,0,0,1,0,0
25,29,63,2,0,0,0,0,0,0,1,0
63,26,278,5,0,0,0,0,0,1,0,0
47,32,233,3,0,0,0,0,0,0,1,0
65,13,20,2,0,0,0,0,0,1,0,0
35,15,209,2,1180,0,0,0,0,1,0,0
25,35,243,4,0,0,0,0,0,0,1,0
58,5,42,1,1010,0,0,0,0,0,1,0
22,8,39,4,2510,0,0,0,0,0,0,1
47,14,158,2,0,0,0,0,0,0,0,1
27,16,37,1,0,0,0,0,0,0,1,0
53,4,303,2,2760,0,0,0,0,0,0,1
65,34,251,1,0,1,0,0,0,1,0,0
45,1,282,2,0,0,0,0,0,0,0,1
26,4,151,4,0,0,0,0,0,0,1,0
34,29,237,1,0,0,0,0,0,0,0,1
59,33,45,3,0,0,0,0,0,1,0,0
47,32,75,2,0,0,0,0,0,0,1,0
44,25,166,3,0,0,0,0,0,0,0,1
42,34,235,2,0,0,0,0,0,0,1,0
41,35,281,5,0,0,0,0,0,0,1,0
41,25,298,3,1610,0,0,0,0,1,0,0
42,11,228,3,1490,0,0,0,0,1,0,0
61,9,185,4,0,0,1,0,0,1,0,0
55,1,83,3,0,0,0,0,0,0,1,0
61,23,41,1,0,0,0,1,0,1,0,0
48,35,77,4,0,0,0,0,0,1,0,0
33,19,219,5,0,0,0,0,0,0,0,1
57,25,348,5,1880,0,0,0,0,0,0,1
65,28,293,5,1160,0,0,0,0,0,1,0
55,22,131,5,0,0,0,0,0,0,1,0
29,22,115,3,0,0,0,0,0,0,1,0
43,0,85,2,0,1,1,0,0,0,0,1
47,32,316,3,0,0,0,0,0,0,0,1
57,36,148,1,0,0,1,0,0,1,0,0
38,29,146,5,0,0,0,0,0,1,0,0
21,0,74,5,0,0,0,0,0,1,0,0
47,0,245,5,0,0,0,0,0,1,0,0
25,17,80,2,0,0,1,0,0,0,0,1
32,6,288,3,0,0,0,0,0,1,0,0
48,35,177,1,0,0,0,0,0,0,0,1
35,0,70,4,0,1,1,0,0,0,0,1
61,35,259,2,0,0,0,0,0,0,1,0
60,12,93,1,0,0,0,0,0,0,1,0
40,4,57,4,0,0,0,0,0,0,0,1
29,27,302,3,0,0,0,0,0,0,1,0
41,1,203,1,0,0,1,0,0,1,0,0
65,1,40,3,0,0,0,0,0,0,0,1
61,9,302,1,0,0,0,0,0,0,1,0
27,26,299,2,0,0,0,0,0,0,0,1
18,1,249,4,0,0,0,0,0,0,1,0
40,1,110,4,0,0,0,0,0,1,0,0
53,28,13,2,0,0,0,0,0,0,1,0
26,13,268,5,0,0,1,0,0,1,0,0
32,34,238,4,0,0,0,0,0,0,1,0
60,17,155,4,0,1,1,0,0,1,0,0
52,20,166,3,0,0,0,0,0,1,0,0
37,25,142,2,1350,0,0,0,0,0,1,0
34,3,176,4,2440,0,0,0,0,0,0,1
35,29,115,2,0,0,0,0,0,0,1,0
41,37,48,3,0,0,0,0,0,0,1,0
33,27,195,4,1640,0,0,0,0,1,0,0
26,12,125,1,810,0,0,0,0,1,0,0
42,0,153,1,0,0,0,0,0,0,0,1
37,3,324,1,0,1,0,0,0,1,0,0
19,26,243,1,0,0,0,0,0,0,1,0
29,14,220,2,0,0,0,0,0,0,0,1
39,23,210,1,0,0,0,0,0,0,1,0
56,21,161,2,3150,1,0,0,0,0,1,0
49,40,27,4,1220,0,0,0,0,0,0,1
38,29,261,3,0,0,0,1,0,0,1,0
23,36,115,3,0,0,0,0,0,0,0,1
62,25,178,4,1400,0,0,0,0,0,0,1
49,23,18,3,0,0,0,0,0,1,0,0
47,24,313,3,0,0,0,0,0,0,1,0
44,29,288,2,0,0,0,0,0,0,1,0
53,10,176,1,950,0,0,0,0,1,0,0
25,24,165,3,0,0,1,0,0,1,0,0
26,31,342,2,890,0,0,0,0,1,0,0
64,3,197,3,900,0,0,0,0,0,1,0
31,11,297,3,0,1,0,0,0,0,1,0
47,6,274,5,0,0,0,0,0,0,0,1
19,9,315,3,0,0,0,0,0,0,0,1
28,3,69,3,0,0,0,0,0,1,0,0
44,34,79,3,0,0,0,0,0,0,1,0
20,31,280,2,1050,0,0,0,0,1,0,0
38,12,71,5,1000,0,1,0,0,0,0,1
26,25,254,2,0,0,0,0,0,1,0,0
59,10,218,5,0,0,0,0,0,0,0,1
49,16,292,1,0,0,1,0,0,1,0,0
40,39,305,2,2820,1,0,0,0,0,1,0
31,26,117,3,0,0,0,0,0,1,0,0
54,18,16,2,0,0,0,0,0,0,0,1
32,22,82,3,2090,0,0,1,0,0,0,1
39,33,318,1,0,0,1,0,0,1,0,0
47,28,89,1,0,0,0,1,0,1,0,0
44,14,47,3,2490,0,1,0,0,1,0,0
51,3,50,5,0,0,0,0,0,0,1,0
22,14,156,3,0,0,0,0,0,0,1,0
55,20,262,1,0,0,0,0,0,0,1,0
54,30,341,1,0,0,0,0,0,1,0,0
52,6,229,5,0,0,1,0,0,1,0,0
64,19,156,2,0,0,0,0,0,0,0,1
25,2,144,1,0,0,1,0,0,1,0,0
52,25,109,1,0,0,0,0,0,0,1,0
57,27,230,5,910,0,0,0,0,0,0,1
51,13,242,5,0,0,0,0,0,1,0,0
53,-1,39,4,0,0,0,0,0,0,1,0
31,23,243,2,0,0,0,0,1,0,0,1
50,22,189,3,980,0,1,0,0,0,1,0
63,24,241,5,1450,0,0,0,0,0,1,0
59,22,110,1,0,0,0,0,0,0,1,0
38,10,39,4,0,0,0,0,0,1,0,0
58,19,65,5,1350,0,0,0,0,0,1,0
55,37,114,2,0,0,0,0,0,0,1,0
51,1,141,4,1500,0,0,0,0,0,1,0
47,8,237,5,0,0,0,0,0,0,1,0
48,18,108,1,0,0,1,0,0,1,0,0
18,38,23,1,0,0,0,0,0,0,0,1
44,32,248,2,0,0,1,0,0,0,0,1
19,3,231,2,0,0,0,0,0,1,0,0
33,26,146,5,1690,0,0,0,0,0,1,0
23,22,163,1,0,0,0,0,0,1,0,0
27,16,202,1,2800,0,0,0,0,0,0,1
48,39,102,5,990,1,0,0,0,0,0,1
51,17,220,4,780,0,0,0,0,0,1,0
32,11,166,1,0,0,0,0,0,0,0,1
25,14,208,3,0,0,0,0,0,0,1,0
31,29,72,4,1110,1,1,0,0,0,1,0
20,29,95,2,2640,0,0,0,0,0,1,0
28,1,184,2,1130,0,0,0,0,1,0,0
47,6,173,5,1170,0,1,0,0,1,0,0
30,28,70,1,3250,1,0,0,0,0,0,1
59,40,161,1,0,0,0,0,0,0,0,1
32,21,331,1,0,0,1,0,0,1,0,0
59,41,115,3,1210,1,0,0,0,0,1,0
25,40,261,2,1380,0,0,0,0,1,0,0
40,0,114,1,0,0,0,0,0,1,0,0
42,41,314,4,0,0,0,0,0,1,0,0
59,9,246,5,0,0,0,0,0,1,0,0
53,30,108,3,770,0,0,0,0,0,0,1
35,27,309,3,0,0,0,0,0,0,0,1
56,16,216,5,2510,1,0,0,0,0,1,0
34,23,40,3,0,0,0,0,0,1,0,0
33,1,260,1,1120,0,0,0,0,0,0,1
25,19,219,5,0,0,0,0,0,1,0,0
32,23,253,1,980,0,0,0,0,0,1,0
40,38,37,5,0,0,1,1,0,0,1,0
35,22,76,5,1380,0,0,0,0,1,0,0
65,39,132,3,0,0,0,0,0,0,1,0
54,13,177,3,0,0,0,0,0,0,0,1
56,36,121,2,0,0,0,0,0,0,0,1
52,14,151,4,0,0,0,0,0,1,0,0
45,3,152,3,1580,0,0,0,0,0,1,0
44,16,323,2,0,0,0,0,0,1,0,0
33,5,161,5,0,0,0,0,0,0,1,0
48,24,166,5,0,0,0,0,0,1,0,0
24,5,277,4,1090,0,0,0,0,0,1,0
54,2,74,3,0,0,0,0,0,0,0,1
42,26,158,3,0,0,0,0,0,1,0,0
42,14,255,5,0,0,0,0,0,0,1,0
50,8,174,3,1640,0,0,0,0,1,0,0
32,31,40,3,0,0,1,0,0,0,1,0
21,9,205,1,0,0,0,0,0,0,0,1
18,36,342,1,0,0,0,0,0,0,1,0
25,19,222,4,0,0,0,0,0,0,0,1
45,13,344,2,0,0,0,0,0,0,0,1
22,25,291,2,1310,0,1,0,0,0,1,0
45,12,293,3,0,0,0,0,0,1,0,0
22,19,111,3,3910,1,0,0,0,1,0,0
63,15,178,2,0,0,1,0,0,0,0,1
63,25,257,3,0,0,1,0,0,0,0,1
33,16,175,3,880,0,0,0,0,0,1,0
63,5,320,2,1290,0,0,1,0,0,1,0
19,19,347,2,0,0,0,0,0,1,0,0
63,9,117,2,0,0,0,0,0,0,1,0
22,34,348,4,0,0,0,0,0,0,1,0
29,9,186,2,0,0,0,0,0,0,1,0
40,25,166,2,0,0,0,0,0,0,0,1
49,19,328,5,0,0,0,0,0,0,1,0
56,15,25,4,0,1,0,0,0,0,1,0
59,9,249,2,0,0,1,0,0,1,0,0
54,39,257,5,1960,0,0,0,0,0,1,0
39,21,222,4,0,0,1,0,0,0,1,0
26,25,89,2,6170,1,0,0,0,1,0,0
28,23,81,5,0,0,0,0,0,0,1,0
45,35,265,2,1230,0,0,0,0,0,0,1
44,29,279,5,0,0,0,0,0,0,0,1
18,18,265,4,0,0,0,0,0,0,1,0
43,8,113,1,0,0,0,1,0,1,0,0
23,38,229,5,0,0,0,0,0,0,1,0
56,32,36,5,0,0,0,0,0,0,0,1
56,26,276,1,1670,0,0,0,0,0,0,1
46,6,103,3,0,0,0,0,0,0,0,1
33,9,284,5,0,0,0,0,0,0,0,1
42,37,266,1,0,0,0,0,0,0,1,0
62,-2,266,5,0,0,0,0,0,0,1,0
24,31,305,5,0,1,0,0,0,0,0,1
48,16,277,3,0,1,1,0,0,1,0,0
58,2,326,4,1900,0,0,0,0,1,0,0
51,39,276,1,0,0,0,0,0,0,0,1
34,34,283,3,2480,0,0,0,0,0,0,1
27,20,75,3,820,1,0,0,0,1,0,0
47,39,193,2,0,1,0,0,0,0,0,1
61,34,179,4,0,1,0,0,0,0,1,0
48,30,173,1,0,1,0,0,0,0,1,0
38,28,129,3,0,0,1,0,0,1,0,0
51,27,229,5,0,0,0,0,0,1,0,0
61,32,147,1,4020,0,0,0,0,0,1,0
57,35,55,4,0,0,1,0,0,0,1,0
39,4,254,4,0,0,0,0,0,0,1,0
32,30,265,5,0,0,0,0,0,1,0,0
23,6,131,4,0,0,0,0,0,0,1,0
31,33,83,5,0,0,0,1,1,1,0,0
27,38,328,4,0,0,0,0,0,1,0,0
43,23,100,2,0,0,1,0,0,0,0,1
28,32,12,3,3600,0,0,0,0,0,0,1
31,12,73,2,0,0,1,0,0,0,0,1
61,27,205,5,0,0,0,0,0,1,0,0
20,3,137,3,3920,0,0,0,0,1,0,0
43,13,85,3,0,0,0,0,0,0,0,1
49,34,157,3,0,0,0,0,0,1,0,0
21,6,192,2,1850,0,0,0,0,0,1,0
31,19,219,2,0,0,0,0,0,0,1,0
21,5,88,3,1030,0,0,0,0,1,0,0
50,24,113,5,1380,0,0,0,0,1,0,0
21,27,96,5,780,0,0,0,0,1,0,0
44,19,261,3,0,0,0,0,0,0,0,1
32,0,215,4,0,0,0,0,0,1,0,0
35,15,246,1,0,1,0,0,0,0,1,0
61,2,106,2,1320,1,0,0,0,0,1,0
51,14,269,2,0,0,0,0,0,1,0,0
41,4,243,2,0,1,0,0,0,0,1,0
47,28,11,4,0,0,0,0,0,1,0,0
26,29,14,5,0,0,0,0,0,0,0,1
57,20,186,5,4190,0,0,0,0,1,0,0
52,19,71,3,0,0,0,0,0,0,1,0
31,30,189,1,880,0,0,0,0,0,0,1
57,14,264,2,810,0,0,0,0,0,0,1
50,6,210,2,0,0,0,0,0,0,0,1
57,6,330,5,0,0,0,0,0,0,1,0
21,10,107,5,0,0,0,0,0,0,1,0
55,19,303,3,0,0,0,0,0,1,0,0
46,32,136,4,2700,0,0,0,0,0,0,1
33,0,349,4,0,0,0,0,0,1,0,0
59,24,128,2,1480,0,1,0,0,1,0,0
30,32,300,2,4660,1,0,0,0,1,0,0
63,24,300,3,0,0,0,0,0,0,1,0
37,8,349,2,1750,0,0,0,0,0,1,0
34,37,264,1,1590,0,0,0,0,0,1,0
31,6,267,4,0,0,0,0,0,0,1,0
20,12,296,5,1470,0,0,0,0,1,0,0
44,34,28,5,0,0,0,1,0,1,0,0
50,30,63,1,1740,0,0,0,0,1,0,0
53,25,78,5,1110,0,0,0,0,1,0,0
33,5,304,5,2200,0,0,0,0,0,1,0
37,7,183,2,0,0,0,0,0,1,0,0
61,21,156,4,0,0,0,0,0,0,0,1
42,5,274,3,0,0,0,0,0,0,1,0
20,23,218,1,0,0,0,0,0,0,0,1
30,0,141,4,0,0,0,0,1,1,0,0
23,33,129,5,0,0,0,0,0,0,0,1
45,29,160,3,0,0,0,0,0,0,0,1
55,41,329,4,0,1,0,0,0,0,0,1
60,18,250,1,0,0,0,0,0,0,0,1
49,25,177,1,0,0,0,0,0,0,0,1
30,9,98,3,0,0,0,0,0,0,1,0
38,5,74,3,0,0,0,0,0,0,1,0
40,5,16,4,0,0,0,0,0,0,1,0
50,30,254,4,0,1,0,0,0,1,0,0
35,20,313,1,0,0,0,0,0,0,1,0
30,19,246,4,0,0,0,0,0,0,1,0
21,32,332,4,0,0,0,0,0,1,0,0
38,29,216,3,0,0,0,0,1,0,1,0
61,28,275,5,1090,0,0,0,0,0,1,0
22,9,110,1,0,0,0,0,0,0,0,1
61,35,152,5,0,0,0,0,0,1,0,0
65,24,274,1,0,0,1,0,0,0,1,0
24,2,250,2,0,0,0,0,0,0,0,1
38,30,39,5,0,0,1,0,0,0,1,0
59,3,190,1,0,0,0,0,0,0,1,0
65,10,127,1,0,1,0,0,0,0,0,1
27,2,245,1,1120,0,1,0,0,0,1,0
47,28,155,3,1330,0,0,0,0,0,1,0
36,30,107,2,0,0,0,0,0,1,0,0
52,36,124,5,1820,0,0,0,0,0,1,0
20,11,198,1,2900,0,0,0,0,0,1,0
18,19,222,1,0,0,0,0,0,0,1,0
27,40,216,3,0,0,0,0,0,0,1,0
34,36,287,2,0,0,0,0,0,0,1,0
40,22,110,3,1250,0,0,0,0,0,1,0
63,23,19,2,0,0,0,0,0,0,1,0
34,36,35,3,0,0,0,0,0,0,0,1
49,20,206,5,0,0,0,0,0,0,0,1
31,7,309,4,0,0,0,0,0,1,0,0
44,28,165,2,0,0,0,0,0,0,0,1
25,8,299,2,1240,0,0,0,0,1,0,0
25,15,45,3,0,0,0,0,0,0,0,1
34,29,297,5,0,0,0,0,0,0,1,0
24,0,271,1,0,0,0,0,0,1,0,0
53,33,138,2,0,0,0,0,0,0,1,0
25,22,238,4,0,0,0,0,0,0,0,1
41,3,224,1,0,1,0,0,0,0,0,1
50,20,70,1,0,0,1,0,0,1,0,0
43,19,281,3,0,0,0,0,0,1,0,0
44,30,163,1,0,0,0,0,0,0,1,0
63,3,135,3,0,0,0,0,0,0,0,1
62,18,320,2,0,0,0,0,0,0,1,0
20,7,43,4,1160,0,0,0,0,0,1,0
32,38,209,2,1160,0,0,0,0,1,0,0
36,13,309,5,0,0,0,0,0,0,1,0
58,26,234,2,1610,0,0,0,0,0,0,1
35,13,233,2,2240,0,0,0,0,0,1,0
25,17,105,1,0,0,0,0,0,1,0,0
57,28,148,2,1410,0,0,0,0,0,1,0
24,6,156,2,0,0,0,0,0,1,0,0
33,26,321,4,0,0,0,0,0,1,0,0
31,35,245,5,1120,0,0,0,0,1,0,0
52,9,92,4,0,0,0,0,0,0,0,1
40,32,81,5,1190,1,0,0,0,0,1,0
38,23,124,5,0,0,0,0,0,1,0,0
55,39,214,1,1390,0,0,0,0,0,1,0
26,27,241,5,0,0,0,0,0,1,0,0
29,28,221,4,1150,1,0,0,0,1,0,0
63,24,326,4,0,0,0,0,0,0,1,0
42,40,25,1,0,0,0,0,0,0,0,1
48,32,30,2,0,0,0,0,0,0,0,1
62,23,47,1,0,0,0,0,0,0,0,1
55,23,49,3,0,0,0,0,1,1,0,0
39,4,270,2,0,0,1,0,0,0,0,1
33,37,248,1,0,0,0,0,0,0,1,0
28,25,158,1,0,0,0,0,0,0,0,1
52,-2,332,4,890,0,0,0,0,0,1,0
36,13,331,5,0,0,0,0,0,1,0,0
56,28,197,1,0,0,0,0,0,1,0,0
21,24,174,4,0,0,0,0,0,0,0,1
37,4,221,5,0,0,0,0,0,0,1,0
44,39,281,2,1160,0,0,0,0,0,1,0
25,3,90,3,0,0,0,0,0,0,1,0
46,24,136,4,0,0,0,0,0,0,1,0
25,10,85,4,4580,0,0,0,0,1,0,0
24,36,121,4,0,0,0,0,0,0,0,1
41,30,158,4,0,0,0,0,0,0,1,0
47,4,170,4,0,1,1,0,0,0,0,1
37,22,72,2,0,1,0,0,0,0,1,0
47,19,215,1,0,1,0,0,0,1,0,0
46,42,334,1,1720,0,1,0,0,0,1,0
28,0,289,5,0,0,0,0,0,0,0,1
19,20,138,1,0,0,0,0,0,0,1,0
35,10,151,1,0,0,0,0,0,0,0,1
34,23,288,3,0,0,0,0,0,0,1,0
30,6,140,5,0,0,0,0,0,0,1,0
29,24,67,4,1610,0,0,0,0,0,0,1
42,19,76,3,1560,0,0,0,0,1,0,0
47,39,117,1,5470,1,0,0,0,0,1,0
31,34,145,4,0,0,0,0,0,0,1,0
61,19,99,4,0,1,0,0,0,0,0,1
63,34,175,1,0,0,1,0,0,0,0,1
21,39,136,3,780,0,0,0,0,1,0,0
36,20,40,3,0,0,0,0,0,1,0,0
20,36,314,1,4700,0,0,0,0,1,0,0
46,29,112,1,0,0,0,0,0,1,0,0
60,9,133,4,0,0,0,0,0,1,0,0
47,32,227,5,880,1,0,0,0,1,0,0
26,5,23,2,0,0,0,0,0,1,0,0
18,1,75,3,0,0,1,0,0,1,0,0
25,34,184,1,0,0,0,0,0,0,1,0
43,30,59,4,3040,0,0,1,0,0,1,0
65,13,50,5,0,0,0,0,0,0,0,1
50,13,135,3,0,0,0,0,0,0,0,1
62,28,167,1,0,0,0,0,0,0,1,0
42,10,102,5,0,0,1,0,0,0,0,1
61,18,204,1,1040,0,0,0,0,1,0,0
46,36,346,1,0,0,0,0,0,1,0,0
18,24,304,5,0,0,0,0,0,0,0,1
62,17,65,3,0,0,0,0,0,0,0,1
33,0,272,2,0,0,0,0,0,1,0,0
26,24,12,4,0,0,0,0,0,0,0,1
43,22,219,4,0,0,1,0,0,0,1,0
18,8,30,3,0,0,0,0,0,1,0,0
46,25,152,1,0,0,0,0,0,1,0,0
46,33,300,1,0,0,0,0,0,0,1,0
56,26,108,4,0,0,0,0,0,0,1,0
37,19,223,2,0,0,1,0,0,1,0,0
47,5,40,3,1850,0,0,0,0,0,1,0
39,10,244,4,0,0,0,0,0,0,0,1
65,12,287,4,0,1,0,0,0,0,1,0
38,25,155,3,0,0,0,0,0,0,0,1
28,40,163,5,0,0,0,0,0,1,0,0
50,22,129,1,0,0,1,0,0,1,0,0
19,28,339,1,1120,0,0,0,0,0,0,1
49,26,77,4,2210,0,0,0,0,1,0,0
43,5,303,2,0,0,0,0,0,0,0,1
65,14,232,1,1080,0,0,0,0,0,0,1
48,6,246,2,0,0,0,0,0,1,0,0
28,1,274,1,0,0,0,0,0,1,0,0
32,16,279,1,2110,0,0,0,0,0,0,1
32,27,290,3,0,0,1,0,0,0,1,0
41,27,280,3,1690,0,0,0,0,0,0,1
57,4,55,4,0,0,1,0,0,1,0,0
35,9,188,1,1050,0,1,0,0,0,1,0
61,37,289,4,1290,0,0,0,0,1,0,0
54,24,82,5,0,0,0,0,0,0,0,1
35,11,162,3,2240,0,0,1,0,0,0,1
64,31,90,1,0,0,0,0,0,1,0,0
30,-1,263,1,0,0,0,0,0,1,0,0
34,38,314,4,1790,0,0,0,0,0,1,0
56,2,28,5,2710,0,0,0,0,1,0,0
43,8,162,3,890,0,0,0,0,0,0,1
18,39,70,4,3780,1,0,0,0,0,1,0
62,15,30,1,0,0,0,0,0,0,0,1
32,30,136,3,0,0,0,0,0,0,1,0
57,6,225,5,0,0,0,0,0,0,0,1
60,37,98,5,1130,0,0,0,0,1,0,0
35,2,49,4,0,0,0,0,0,0,1,0
21,28,195,2,0,0,1,0,0,0,1,0
57,25,208,5,0,0,0,0,0,0,0,1
18,-1,28,3,1760,0,0,0,0,0,0,1
45,20,128,4,0,1,0,0,0,1,0,0
63,5,247,5,760,0,0,0,0,0,0,1
59,32,13,1,1170,0,0,0,0,0,0,1
36,-1,56,2,3140,0,0,0,0,1,0,0
33,6,19,4,0,0,0,0,0,0,1,0
36,14,83,4,0,0,0,0,0,0,0,1
26,38,297,4,900,0,0,0,0,0,0,1
57,10,324,5,0,0,0,0,0,0,0,1
47,19,20,2,870,0,0,0,0,1,0,0
52,2,76,4,2030,0,0,0,0,1,0,0
30,14,317,3,1800,0,0,0,0,0,0,1
60,23,163,5,0,0,0,0,0,0,0,1
28,36,49,5,0,0,0,0,0,0,1,0
46,34,137,4,0,0,0,0,0,1,0,0
25,34,11,4,0,0,0,0,0,0,0,1
53,3,218,5,2300,0,0,0,0,0,1,0
47,28,103,3,0,0,0,0,0,0,0,1
45,2,147,2,0,0,0,0,0,0,1,0
38,8,79,2,1370,0,0,0,0,0,1,0
38,34,199,2,1290,0,0,0,0,1,0,0
57,15,190,5,0,0,0,1,0,0,0,1
62,5,188,2,0,0,0,0,0,1,0,0
31,25,15,1,1380,0,0,0,0,0,1,0
27,18,19,1,0,0,0,0,0,0,0,1
19,33,57,5,0,0,0,0,0,0,0,1
54,3,108,1,0,0,0,0,0,0,0,1
36,27,14,5,0,0,0,0,0,1,0,0
24,7,102,1,1520,0,1,0,0,0,1,0
35,29,51,1,0,0,0,0,0,0,0,1
61,28,233,1,0,1,0,0,0,0,1,0
63,8,228,3,0,0,0,0,0,0,0,1
26,9,245,1,1610,0,0,0,0,0,1,0
46,14,184,3,1850,0,0,0,0,1,0,0
65,25,63,3,4850,1,0,0,0,0,1,0
